sentence,count
head of zebra,428
zebra has eye,427
plane has wheel,424
tusk on elephant,424
plane has window,421
dog wearing collar,419
leg on person,414
white clouds in blue sky,413
wing on airplane,412
bird has eye,412
leaf growing on tree,409
license plate on car,409
bird has head,407
house has window,406
shirt has sleeve,405
rock in water,405
window of bus,405
tire on bike,404
bird has wing,403
tail on plane,399
reflection on water,397
dog has tail,396
windshield on train,394
horse has ear,393
person wearing black,393
horse has head,392
reflection in mirror,391
line on tennis court,391
nose of dog,390
sign attached to pole,389
zebra has nose,388
mirror on bus,386
eye on cat,386
eye of elephant,383
line on pavement,382
wheel of skateboard,382
train has door,381
wheel on train,380
white clouds in sky,378
green leaves on tree,378
glass window on building,376
building has door,373
beak of bird,373
headlight on motorcycle,371
license plate on bus,371
horn on giraffe,370
eye of bear,369
window near train,366
nose of bear,364
handle on drawer,363
part of ground,361
plane has engine,361
cat has head,360
label on bottle,359
tail of zebra,356
handle on cabinet,356
leg on giraffe,355
wing of airplane,355
leaf of tree,354
propeller on plane,353
window adorning building,351
dog has head,350
stone in wall,347
cow has head,346
eye on person,346
sheep has leg,345
eye of giraffe,344
bear has leg,342
engine on airplane,342
airplane has tail,342
ocean has wave,341
leg of cow,340
eye of zebra,340
hand of clock,338
leg of dog,336
shirt has collar,333
head of elephant,328
whisker on cat,328
collar on dog,328
zebra has hoof,326
paw of cat,324
beak on bird,322
tail of airplane,321
wheel on airplane,321
window on door,320
front of train,320
leg of sheep,319
cloud floating in sky,318
letter on bus,317
horse has mane,316
nose of cat,315
leg on zebra,313
ear of horse,313
girl with hair,312
dog has collar,312
girl has hand,311
head of horse,311
cloud against sky,310
kite has tail,306
sauce on pizza,306
nose on face,305
nose on person,305
tire on motorcycle,304
cabinet in kitchen,303
leaf on bush,303
elephant has foot,303
horse has hoof,303
airplane has window,303
lady has hair,302
tusk of elephant,302
light on truck,300
car has tire,299
line painted on road,298
car has window,298
ear on giraffe,298
people in water,297
wheel on truck,296
wheel of plane,296
train has light,296
wing of bird,295
sign has letter,295
person wears shoe,294
window near bus,294
paper on desk,294
tail of elephant,294
ear on zebra,294
ear of cow,294
bear has head,293
light on motorcycle,293
headlight on truck,291
wheel on bike,291
crust on pizza,291
lettering on sign,290
bench has leg,290
wheel on motorcycle,289
nose on bear,288
trunk on elephant,287
design on shirt,287
dog has mouth,286
bat in hand,285
tail of giraffe,285
head of cat,284
bird has feather,283
mirror on car,283
door has handle,283
bird has tail,281
window in room,281
ear on bear,281
mirror on motorcycle,280
person has neck,280
ear on person,280
knob on door,279
sheep has ear,279
hand of boy,277
head of dog,276
head of boy,276
boy has head,275
clock has face,275
person wearing earring,275
pizza has crust,274
train has headlight,274
window on truck,272
bird flying in sky,271
rock on beach,271
cloud on sky,271
cloud in cloud,271
tail of horse,270
leaf on grass,270
tail of cat,269
window on vehicle,268
girl has eye,267
door on plane,265
nose of plane,264
bird has foot,264
patch of grass,263
knob on oven,262
eye of bird,262
button on jacket,261
burner on stove,260
sign with letter,260
water in glass,259
paw of dog,258
elephant has head,258
leg of bear,258
bear has paw,258
window attached to building,257
feather on bird,257
spot on banana,257
boy has eye,257
wave on water,257
head of bear,257
head of bird,257
row of window,256
boy has arm,256
foot on person,254
line in road,253
water has wave,252
bus has headlight,252
ripple on water,252
foot on skateboard,250
clock has number,250
car has headlight,249
person has knee,248
eye on bear,247
toilet has lid,247
ear on elephant,245
window of car,244
reflection in window,244
water has ripple,243
person has eyebrow,243
cow has nose,242
leg on elephant,242
airplane has wheel,241
head of cow,241
chair has leg,240
airplane has engine,239
door of car,238
wheel on car,238
person with beard,238
skateboard with wheel,236
zebra with stripe,235
pizza has cheese,235
cone on ground,234
leg on horse,234
ear on dog,233
giraffe has hoof,232
picture in frame,232
eye on face,232
mirror on truck,231
cat has leg,231
bus has windshield,230
leg of bird,230
bike has wheel,229
cow has eye,229
dog has tongue,228
hand of girl,227
bike has tire,227
petal on flower,227
head of sheep,226
cabinet has door,224
button on phone,224
track for train,223
letter on plane,223
slice of pizza,223
knife has handle,222
net on court,220
bus has door,220
tree in forest,220
bus has tire,220
person has wrist,218
building with roof,218
window has curtain,218
pole with sign,217
window has pane,216
pole on fence,216
nose on dog,216
airplane in air,215
line in street,215
magnet on refrigerator,214
wall has tile,214
giraffe has mane,214
sheep in herd,214
sheep has head,214
chimney on building,213
mane on zebra,212
sink has faucet,212
part of floor,212
bar on window,211
plane has propeller,211
chimney on roof,210
hinge on door,209
horse has eye,209
eye on dog,208
person with hand,208
bus has wheel,208
cover of traffic light,205
face on person,205
fence has post,204
field has grass,203
left ear of cow,202
pole in ground,201
ear of sheep,201
line painted on street,201
toilet has seat,201
pole has sign,201
liquid in glass,201
column on building,201
grass on hill,200
keyboard on laptop,200
whisker of cat,198
shirt has button,198
animal has ear,198
hoof of zebra,197
spot on animal,197
cabinet has handle,197
car on train,196
train has wheel,196
wheel of bike,196
tail on zebra,195
track under train,195
leg of cat,195
house has roof,194
door of train,194
tail of dog,194
plant has leaf,193
tire of car,193
bottle has water,193
car of train,193
girl has head,192
lid on toilet,192
seat on bike,192
wheel of car,192
building has balcony,191
car has light,191
boy has leg,191
child has hair,190
motorcycle has wheel,190
wiper on windshield,190
nose on cat,190
magnet on fridge,189
head of girl,189
key on laptop,189
mane of zebra,189
knob on drawer,189
brown spot on giraffe,189
pane on window,188
foot of elephant,188
car has wheel,188
tail on airplane,188
building has wall,188
animal has leg,188
nose of zebra,188
door on airplane,188
collar on shirt,187
boy with hair,187
engine of plane,187
giraffe has mouth,186
wheel of motorcycle,186
tail of bird,186
train has car,184
wing on bird,183
knob on cabinet,183
hoof on horse,183
person has elbow,182
head on giraffe,182
crust of pizza,182
leg of chair,181
ear on horse,181
engine on wing,181
tire of motorcycle,180
bear has mouth,180
engine under wing,180
leg of bench,179
tree with branch,179
headlight of car,179
tail on horse,179
tire on vehicle,179
window in front of building,178
roof on house,178
hand has finger,178
eye on giraffe,177
cow has tail,176
hair in ponytail,176
cockpit of plane,176
screen on laptop,175
plane has nose,175
wheel on board,175
hoof of horse,175
propeller on airplane,175
teddy bear has eye,174
elbow of person,173
giraffe has nose,173
roman numerals on clock,173
window of plane,172
door on cabinet,172
wheel of bus,172
windshield on car,172
wheel of airplane,171
person has left hand,171
tire of bike,171
pizza has topping,171
reflection on window,171
handle on suitcase,170
horn of giraffe,170
neck on giraffe,170
animal has eye,170
paw on cat,170
drawer has handle,169
truck has wheel,169
truck has tire,169
lace on shoe,169
window in wall,169
finger on person,168
person has right hand,168
mountain covered in snow,168
tire of bus,168
handle on toilet,167
wave on ocean,167
tail on giraffe,166
window has frame,165
wall in bathroom,165
lamp has shade,165
mirror on bike,165
mane on horse,165
shoe has lace,165
floor in bathroom,165
paw of bear,165
nose of airplane,165
wall made of brick,165
cushion on couch,164
clock has roman numerals,164
seat on motorcycle,163
headboard on bed,163
flower on plant,163
eye on elephant,162
horse has nose,162
motorcycle has tire,162
cat has face,162
leg of animal,161
wheel of train,161
teddy bear has nose,160
license plate on truck,160
person has lip,160
leg of table,160
eye of girl,159
person sitting on motorcycle,159
pole on ground,159
part of curtain,158
neck of person,158
girl has arm,158
eye of horse,157
crack in sidewalk,157
animal has head,157
person has shoulder,157
animal has horn,156
knee of person,156
person with arm,156
hair on boy,156
hair on girl,156
person has thumb,156
eye of cow,155
headlight of train,155
windshield of train,155
mouth of giraffe,154
wall of building,154
wall has brick,154
building made of brick,154
faucet over sink,154
back of person,153
mountain has snow,153
person has brown hair,153
arm of boy,153
window of airplane,151
person has chin,151
beard on person,151
clock has numeral,151
train has windshield,151
bus has light,151
track near train,151
plate on car,150
train has front,150
ball in hand,150
body of water,150
sign has writing,150
plane in air,150
window belonging to building,150
laptop has screen,149
wheel under skateboard,149
frame in frame,149
table has leg,149
person in group,148
curtain in window,148
mouth on person,148
eye of boy,148
light on bike,148
teeth in mouth,147
suitcase has handle,147
edge of plate,146
wiper on bus,146
person has ponytail,146
horn on cow,146
sidewalk near street,146
leg on bench,146
boy has nose,145
tile in wall,145
sheep has face,145
person has teeth,145
jet has wing,145
boy has ear,144
cap on bottle,144
cat has fur,143
racket has handle,142
windshield of bus,142
post on fence,142
teddy bear has ear,141
door has window,141
eye on bird,140
mustard on hot dog,140
foot of bird,140
faucet above sink,140
building on street,140
person has back,140
bike has seat,139
eye on head,139
tire of truck,139
airplane has propeller,139
wheel on cart,139
plane has door,139
scissors has handle,139
water in ocean,139
pot with handle,139
sign with lettering,138
seat on toilet,138
window in kitchen,137
face of clock,137
window near plane,137
fin on surfboard,136
trunk on tree,136
windshield on truck,136
wheel of truck,135
back of chair,135
leg on table,135
bear has fur,135
windshield on motorcycle,134
leaf in grass,134
tail light on car,134
head of animal,134
tail on elephant,134
train car on track,133
table with chair,133
remote has button,133
mane on giraffe,133
window part of building,132
guy has hair,132
nose of horse,132
baby has hair,132
door of bus,132
girl has nose,132
girl has leg,132
person has black hair,132
flower in garden,132
headlight of bus,131
girl has face,131
pocket on shirt,131
lid of toilet,131
nose of cow,131
keyboard has key,131
person has dark hair,130
ear on cow,130
airplane has nose,130
mouth of dog,130
cat has mouth,130
toilet on floor,129
top of building,129
hair on tail,129
car has door,129
dog has face,129
tire on plane,128
sheep has wool,128
eye on zebra,128
clock has roman numeral,128
water on ground,128
wiper on train,128
button on microwave,128
cheese above pizza,127
leaf on leaf,127
button on cell phone,127
mast on boat,126
zebra has mouth,126
leaf of plant,126
feather of bird,126
ground on ground,126
umbrella has handle,126
light on vehicle,125
window in house,125
shade on lamp,125
sail on boat,125
slat on bench,125
court has line,124
person wearing blouse,124
mouth of bear,123
table in room,123
chimney on house,123
leg on chair,123
letter on airplane,122
handle of door,122
horn on animal,122
baby has eye,122
flower on tree,121
rock in ocean,121
ear of animal,121
mane on neck,120
nose on plane,120
banana has spot,120
motorcycle has headlight,120
eye of animal,120
chin of person,120
curtain over window,120
roof of house,119
seat of toilet,119
leaf hanging from tree,118
book in shelf,118
leg of boy,118
nose of giraffe,117
wheel of bicycle,117
flower has petal,117
person has facial hair,117
bag on shoulder,117
headlight on bike,117
boat in harbor,117
lamp with shade,117
plate on bus,116
leg on bird,116
window built into building,116
sheep has eye,116
landing gear on plane,116
bottle has label,116
face on clock,116
wheel on bicycle,116
boy has foot,116
collar of shirt,116
curtain covering window,116
bird has claw,116
spoke on wheel,115
kite has string,115
door of building,115
fur on cat,115
tennis racket in hand,115
engine of airplane,114
horse has face,114
bird has neck,114
elephant has mouth,114
person in black,113
child has eye,113
cow has face,113
nose on zebra,113
collar near neck,113
button on coat,113
handle of knife,113
nose of boy,112
person in shoe,112
bull has horn,112
road has line,112
sidewalk near road,112
hair belonging to person,111
wiper on window,111
flower has stem,110
beard on face,110
door on car,110
animal has nose,110
person has left arm,110
train has engine,110
apple has stem,110
pane in window,109
bear has claw,109
ear of boy,109
nose of girl,109
step on stairway,109
laptop has keyboard,108
person has short hair,108
hair of girl,108
flower on ground,108
tail on cat,108
leg on dog,108
beach has sand,107
chair has arm,107
tail of cow,107
wheel on carriage,107
refrigerator in kitchen,107
water on beach,106
wave on beach,106
stove in kitchen,106
branch has leaf,105
tail on dog,105
curtain near window,105
wheel under plane,105
sign with writing,105
car has license plate,105
part of window,105
donut has hole,105
car has windshield,105
part of wall,105
truck has window,104
window with pane,104
hole in donut,104
door to building,104
tail of kite,104
bottle has cap,104
window built into train,104
mane of horse,104
zipper on jacket,103
door with window,103
sheep has nose,103
handle on knife,103
window with frame,103
sleeve on shirt,102
motorcycle has mirror,102
motorcycle has seat,102
paw on dog,102
truck has headlight,102
tree has flower,101
windshield on plane,101
head on horse,101
door in room,100
thumb of person,100
white cloud in sky,100
flower on grass,100
cow has hoof,100
wheel under airplane,100
sign above pole,100
cart has wheel,100
door on house,100
tire on bicycle,99
wall in room,99
shoe on skateboard,99
water near beach,99
plate on wall,99
toilet has bowl,98
book on book shelf,98
cat has foot,98
hoof of giraffe,98
building has brick,98
head on zebra,98
cockpit on plane,98
head on bird,98
car has mirror,98
wrist of person,98
plane has cockpit,97
panel on wall,97
sailboat on water,97
dog has fur,97
shoulder of person,97
stove has knob,97
tail on kite,97
frame on window,97
window has shutter,97
sand near water,97
door on truck,96
banana has stem,96
bush has flower,96
ear on sheep,95
handle of umbrella,95
lip of person,95
animal has tail,95
person has right arm,94
arm of girl,94
arm of chair,94
fruit on tree,94
snow covering mountain,94
lady with hair,94
screen of laptop,94
cat with eye,93
child has hand,93
finger of hand,93
window near airplane,93
jet has tail,93
car has tail light,93
wall in house,93
sky full of cloud,93
flower on stem,93
thumb on hand,93
hair on neck,93
ripple in ocean,93
bed has headboard,93
window on church,92
tree without leaf,92
bark on tree,92
drawer in kitchen,92
bush has leaf,92
hair of boy,92
spot on head,92
zebra has neck,92
person has earring,92
sign has lettering,92
chair has back,92
cat has stripe,91
leg on bear,91
book in bookshelf,91
window with curtain,91
mouth of cat,91
bear has arm,90
airplane has door,90
window on train car,90
person wearing eye glasses,90
glass has water,90
giraffe has nostril,90
hand belonging to person,90
elephant with tusk,90
window has blind,90
seat on bicycle,89
bathtub in bathroom,89
mountain with snow,89
belt on person,89
leg on animal,89
wool on sheep,89
jacket has button,89
ear on animal,89
bicycle has wheel,88
person has blonde hair,88
bag has handle,88
bird in air,88
sand at beach,88
giraffe has face,87
pizza with topping,87
engine of train,87
window of house,87
toilet has tank,87
letter on street sign,87
bear has face,87
girl has foot,87
lock on door,87
wing of jet,86
grass covering ground,86
building has chimney,86
shirt has pocket,86
doorknob on door,86
crack in pavement,86
door for cabinet,86
arm on chair,86
mountain covered with snow,86
wing on jet,85
airplane has cockpit,85
line painted on ground,85
leg on cow,85
right hand of person,85
sheep has horn,85
door has knob,85
headlight of truck,85
line on baseball field,85
person has long hair,85
giraffe has tongue,85
face of girl,85
string on kite,85
street has line,85
foot on elephant,85
mouth of zebra,84
windshield wiper on train,84
eyebrow of person,84
plate has edge,84
seat on bus,84
plane has landing gear,83
foot on ground,83
stripe of zebra,83
leg on sheep,83
blind in window,83
bus has mirror,83
cell phone has button,83
bear has foot,82
part of collar,82
person with shoe,82
tail has hair,82
handle on cabinet door,82
puddle on ground,82
toilet with lid,82
person wearing necktie,82
rock in river,82
window with blind,82
window of truck,81
head has hair,81
bathroom has sink,81
fur on bear,81
beach near water,81
wall behind toilet,81
person with brown hair,81
train has track,81
keyboard of laptop,81
window on roof,81
windshield of car,81
landing gear on airplane,80
couch in living room,80
shirt worn by person,80
horn of cow,80
head belonging to person,80
foot on bird,80
surfboard has fin,80
white cloud in blue sky,79
window in door,79
water in bottle,79
board has wheel,79
headlight on front,79
handle on scissors,79
people has hair,79
plant in field,79
nose on airplane,79
window in train,79
water has reflection,79
picture has frame,78
kite with tail,78
mirror of car,78
light of train,78
fork has tine,78
eyebrow on person,78
bear has snout,78
spot on dog,78
keyboard on computer,78
handlebar on bike,78
mustard on hotdog,78
sock on leg,78
visor on head,78
elephant with trunk,77
horn on bull,77
tennis racket has handle,77
knife has blade,77
spot of giraffe,77
boat has sail,77
window on front,77
window on brick building,77
floor in room,77
liquid in cup,77
lady has head,77
brick in building,77
door in building,77
tail on bird,77
bottle with cap,77
cockpit of airplane,76
petal of flower,76
string attached to kite,76
knife with handle,76
bubble in water,76
person on sign,76
fence has pole,76
eye on horse,76
engine on jet,75
window on jet,75
bush with flower,75
door near train,75
bag has strap,75
flower in bush,75
faucet of sink,75
top of tower,75
text on sign,75
seat of motorcycle,75
part of fence,75
pizza has sauce,75
person with head,75
bottle with label,74
table has chair,74
paw on bear,74
stove has burner,74
fur on dog,74
boat has mast,74
kitten has eye,74
nose on cow,74
giraffe has foot,74
windshield has wiper,74
horn above head,74
head of lady,74
bumper on truck,74
computer has keyboard,74
bus has license plate,73
bird with beak,73
headboard of bed,73
skirt on person,73
building has top,73
light of car,73
door of airplane,73
head on cat,73
pole for sign,73
handle of suitcase,73
wheel on bottom of skateboard,72
screen on computer,72
house with roof,72
door of plane,72
motorcycle has light,72
head on dog,72
handle on cup,72
sleeve of shirt,72
window has reflection,71
zebra has hair,71
zebra has face,71
goat has horn,71
bicycle has tire,71
neck of bird,71
truck has light,71
foot has sneaker,71
face of cat,71
kickstand on motorcycle,71
apple on tree,71
bird with wing,70
shoe with lace,70
motorcycle has windshield,70
white letter on sign,70
branch attached to tree,70
window on van,70
oven has knob,70
flower on umbrella,70
mane of giraffe,70
light in room,70
headlight of motorcycle,70
door knob on door,70
glass near plate,69
phone has button,69
person with black hair,69
person has right leg,69
leaf on flower,69
airplane has landing gear,69
head on bear,69
windshield of truck,69
blind over window,69
tree has bark,69
wheel on vehicle,69
bumper on car,69
glass with water,68
leg on cat,68
bike has handlebar,68
claw on bear,68
blue sky with cloud,68
umbrella has pole,68
wall on side building,68
ground has grass,68
tire on van,68
person has left leg,68
windshield wiper on bus,68
stem of flower,68
window above door,68
cup has handle,67
cabinet has knob,67
key on computer,67
child with hair,67
handle on luggage,67
light above train,67
lettering on bus,67
minute hand on clock,67
handle of racket,66
reflection of boat,66
seat of bike,66
engine on train,66
shirt has writing,66
window built into airplane,66
face of giraffe,66
arm of bear,66
nose on giraffe,66
building has column,66
hand of guy,66
mirror has reflection,66
roof above building,66
propeller of plane,66
bench has slat,66
tail of animal,66
dog has teeth,66
fingernail on finger,66
giraffe has hair,66
leg belonging to person,65
plant has flower,65
post of fence,65
child has head,65
toilet has handle,65
face of bear,65
collar on neck,65
blind covering window,65
part of wheel,65
tile covering wall,65
window on passenger train,65
teeth of person,65
computer has screen,65
green leaves in brown tree,65
head has ear,65
letter printed on sign,65
person has left eye,65
fur of bear,65
blue sky has cloud,65
neck of zebra,65
person has right eye,65
mouth of elephant,65
hoof on giraffe,65
tree behind water,64
pot has handle,64
person has forehead,64
horse has foot,64
eye of baby,64
name on sign,64
hour hand on clock,64
helmet on bike,64
bottle has top,64
clock with hand,64
door has hinge,64
cabinet has drawer,64
kitten has ear,64
nose on teddy bear,64
truck has mirror,63
jacket has zipper,63
snow covered mountain,63
snow above mountain,63
wristband on wrist,63
part of cloud,63
guy with hair,63
couch in room,63
person with eyeglass,63
truck has door,63
girl has finger,63
faucet in bathroom,63
church has window,63
person with dark hair,62
motorcycle has kickstand,62
head on cow,62
tree has green leaves,62
girl has ponytail,62
claw of bear,62
arch on building,62
shoe has sole,62
wall has window,62
hair on face,62
cloud hanging in cloud,62
shirt has design,62
face of dog,62
truck has windshield,62
pole supporting sign,62
foot of bear,61
window in bus,61
plant with leaf,61
bathroom has wall,61
bowl of toilet,61
person wearing knee pads,61
wheel on jet,61
floor has part,61
drawer on cabinet,61
line on asphalt,61
cat has left eye,61
hoof on zebra,61
door of truck,61
person has fingernail,61
beach near ocean,61
window near house,60
button on cellphone,60
dog has neck,60
number written on clock,60
door handle on door,60
person wears earring,60
hand has thumb,60
eye on animal,60
head on girl,60
tennis ball in air,60
plant with flower,60
glass on building,60
boy has finger,60
guy has arm,60
tree with no leaf,59
guy has hand,59
shelf has book,59
hair above head,59
wheel has spoke,59
person with ponytail,59
clock with numeral,59
elephant has back,59
stone on wall,59
window with shutter,59
mouth on face,59
strap on bag,59
clock with number,59
window has bar,59
stripe on jacket,59
windshield on airplane,59
horn on goat,59
bicycle has seat,59
duck has head,59
coat has button,59
cloud in cloudy sky,59
person has cheek,59
duck has beak,59
house has chimney,59
building outside window,59
table in kitchen,58
sign with word,58
leaf from tree,58
wall made of stone,58
landing gear of airplane,58
tongue of dog,58
face of sheep,58
water behind wave,58
eye on boy,58
pizza has slice,58
pant has pocket,58
fork has prong,58
person with leg,58
pizza has tomato,57
curtain on wall,57
curtain hanging from window,57
jet has engine,57
tire of vehicle,57
computer mouse on desk,57
leaf above grass,57
frame near window,57
ground has dirt,57
baby has head,57
animal has neck,57
knee on person,57
green leaf on tree,57
window of cockpit,57
hair of lady,57
tail on cow,57
wing near plane,56
foot in water,56
crack in rock,56
sheep has tail,56
a window on building,56
nostril of giraffe,56
bathroom has floor,56
crack on sidewalk,56
dresser has drawer,56
tire of bicycle,56
tree in water,56
cat has right eye,56
car has hood,56
nose of animal,56
plane has windshield,56
mouth on giraffe,56
wall of bathroom,56
thigh of person,56
animal with horn,56
part of plate,56
head of guy,56
ocean near beach,55
string of kite,55
glass has liquid,55
desk has drawer,55
button on remote control,55
wall has part,55
tine on fork,55
faucet for sink,55
handle on racket,55
bush with leaf,55
water near sand,54
photo in frame,54
horse has hair,54
head on sheep,54
handle on pot,54
front wheel of motorcycle,54
tire on airplane,54
drawer on desk,54
cloud covering sky,54
hair on zebra,54
wristband on arm,54
pavement has crack,54
zebra has belly,54
faucet in sink,53
horse with mane,53
eye of teddy bear,53
green leaves in tree,53
handle of cabinet,53
rim on tire,53
eyebrow on face,53
fur on animal,53
sky filled with cloud,53
sidewalk has crack,53
elephant has hair,53
window built into bus,53
water in lake,53
front wheel on motorcycle,53
forest of tree,53
bike has pedal,53
bottle has lid,52
liquid in bottle,52
finger attached to hand,52
part of tree,52
landing gear of plane,52
spot adorning giraffe,52
seat of bicycle,52
bird flying in air,52
nail on finger,52
dog with collar,52
roof on tower,52
bookshelf has book,52
fur of cat,52
baby has nose,52
mouth on cat,52
rock near road,52
blade of knife,52
tv has screen,51
branch in tree,51
table made of wood,51
chair has seat,51
giraffe has long neck,51
part of part,51
handle of scissors,51
pole of fence,51
headlight on vehicle,51
tennis court has line,51
zebra has foot,51
light on tree,51
hand on head,51
handle on umbrella,51
train near track,51
nail on thumb,51
leg in water,51
baby has mouth,51
shirt on guy,51
face of zebra,51
container has lid,51
room has window,51
head has horn,51
baby has ear,51
handle of spoon,51
window in bedroom,50
mirror on vehicle,50
handle on cupboard,50
wiper on car,50
jacket has pocket,50
plaque on wall,50
person has wristband,50
wave in sea,50
shoelace on shoe,50
feather on wing,50
sheep has mouth,50
person with eye,50
cat has left ear,50
left hand of person,50
eye of lady,50
foot of giraffe,49
wave crashing in ocean,49
nose on animal,49
leave on tree,49
knee of giraffe,49
person has gray hair,49
toilet with seat,49
crowd of people,49
scissors with handle,49
white line on tennis court,49
horse has nostril,49
cheese on bread,49
spoon has handle,49
cat has right ear,49
arm belonging to person,49
pocket on pant,49
sand on shore,49
eye on sheep,49
floor of bathroom,48
wave on shore,48
fence with post,48
mouth on bear,48
flame on candle,48
zebra has snout,48
couch has cushion,48
hair on lady,48
toilet on wall,48
luggage has handle,48
dog has foot,48
cushion on sofa,48
eye of child,48
person wears black,48
eye on cow,48
wall supporting building,48
frame of window,48
nose of teddy bear,48
reflection on mirror,48
handle bars on bike,48
water in cup,48
glass with liquid,48
carriage has wheel,48
drawer with handle,48
person has eyeglass,48
branch with leaf,48
tine of fork,47
tree with green leaves,47
person wearing knee pad,47
stem on apple,47
wave of ocean,47
flower has leaf,47
brick near building,47
eye belonging to person,47
stem on flower,47
wheel on wagon,47
wall near water,47
right arm of person,47
backpack has strap,47
guy has head,47
ground has part,47
eye belonging to cat,47
prong on fork,47
table with leg,47
people has hand,47
number on clock face,47
stem of tree,47
leaf attached to tree,47
window on home,47
bike has headlight,47
train with window,47
leaf on table,47
entrance to building,47
field with grass,47
bird with feather,47
grass has patch,46
bathroom has toilet,46
water on sand,46
pedal on bicycle,46
food in dish,46
stem of apple,46
dog wears collar,46
female has hair,46
handle on sink,46
handle of cup,46
kid has hair,46
grass on mountain,46
foot on bear,46
cloud hanging in blue sky,46
car with headlight,46
beard of person,46
plane has tire,46
light above truck,45
computer has monitor,45
house near road,45
windshield of plane,45
bristle on toothbrush,45
motorcycle has front tire,45
body of bird,45
bark of tree,45
taillight on car,45
back of elephant,45
screen on wall,45
ram has horn,45
window near door,45
lamb has ear,45
person has left ear,45
hoof of cow,45
paneling on wall,45
wheel mounted on skateboard,45
tile on roof,45
spot on leg,45
sole of shoe,45
zebra has back,45
nose of jet,45
glass in window,45
vehicle has tire,45
cow has udder,44
giraffe has front leg,44
piece of pizza,44
windshield wiper on window,44
shadow of elephant,44
window pane on building,44
mouth on dog,44
line on highway,44
person has thigh,44
toothbrush has bristle,44
banana on stalk,44
face has nose,44
window above building,44
tire has rim,44
cloud in middle of sky,44
cereal in bowl,44
giraffe with neck,44
dog has whisker,44
people has head,44
person has right foot,44
neck of dog,44
girl has brown hair,44
dog has hair,44
chin on person,44
dog has left ear,44
building has doorway,44
polar bear has nose,44
collar of dog,44
pole in field,43
clock with roman numerals,43
knob on wall,43
cabinet with handle,43
clock with roman numeral,43
